dataset 2DDDTW 2DDLCSS 2DDTW 2DLCSS ACF CC CDM CDTW CID CORT DLCSSDTW DDLCSSDTW DDDTW DDED DDLCSS DDTW DED DLCSS DTW DTWc ED EDR ERP FC GLK HDTW IDDTW
GestureMidAirD3 67.7 62.3 87.7 86.2 91.5 76.9 93.1 70.8 63.1 67.7 63.1 63.1 67.7 67.7 62.3 79.2 71.5 75.4 67.7 62.3 65.4 70.8 65.4 65.4 90.8 73.8 66.9
GesturePebbleZ1 20.9 11.6 81.4 77.9 59.9 37.2 77.9 23.3 36.6 59.9 12.8 12.8 20.9 26.7 12.8 81.4 83.7 77.9 20.9 17.4 26.7 19.2 10.5 26.7 75.0 15.1 21.5
GesturePebbleZ2 32.9 19.0 80.4 83.5 58.2 41.8 65.8 31.0 31.6 62.7 27.2 27.2 32.9 32.9 16.5 76.0 84.8 74.0 32.9 22.1 32.9 20.9 20.9 32.9 76.6 22.8 29.1
GunPoint 2.0 3.3 8.0 7.3 8.0 8.7 51.3 10.0 7.3 7.3 8.7 1.3 2.0 8.7 6.0 1.3 8.7 6.0 9.3 8.7 8.7 3.3 4.0 8.7 21.3 10.7 11.3
GunPointAgeSpan 0.9 3.5 5.7 10.4 10.4 9.8 28.8 12.0 8.2 9.5 5.1 1.3 0.9 10.1 5.4 1.9 8.9 4.8 8.2 3.5 10.1 1.6 4.7 10.1 15.2 5.7 7.0
GunPointMaleVersusFemale 0.3 1.9 3.5 4.8 3.8 2.2 12.0 2.8 1.6 2.5 0.3 0.3 0.3 2.5 2.2 3.5 4.8 1.3 0.3 2.5 2.5 0.6 0.9 2.5 16.5 0.3 0.3
GunPointOldVersusYoung 4.8 1.3 4.1 4.4 10.2 4.8 30.8 4.8 4.8 6.7 6.0 4.8 4.8 10.2 4.1 4.8 12.7 2.5 16.2 3.5 4.8 4.4 3.2 4.8 8.6 1.3 5.4
Ham 49.5 45.7 56.2 42.9 46.7 39.0 51.4 41.9 48.6 44.8 52.4 52.4 52.4 41.0 45.7 54.3 43.8 50.5 53.3 40.0 40.0 40.0 46.7 40.0 51.4 38.1 52.4
HandOutlines 12.7 15.9 31.9 30.5 40.0 13.2 43.0 13.5 13.8 13.8 11.9 13.0 13.2 13.5 16.2 26.8 16.2 15.9 11.9 13.8 13.8 12.2 11.1 13.8 38.4 13.0 12.2
Haptics 60.1 68.2 73.4 72.4 75.0 61.7 78.6 62.0 58.4 58.4 60.1 58.1 60.1 56.5 68.2 71.1 68.5 75.7 62.3 58.8 63.0 61.0 59.4 63.0 74.0 59.1 59.4
Herring 42.2 46.9 53.1 51.6 48.4 43.8 46.9 54.7 45.3 46.9 40.6 40.6 45.3 48.4 40.6 56.2 51.6 50.0 46.9 46.9 48.4 42.2 46.9 48.4 48.4 48.4 50.0
HouseTwenty 7.6 10.1 14.3 24.4 13.4 57.1 42.0 14.3 21.0 31.9 7.6 7.6 7.6 33.6 10.1 16.0 58.0 39.5 7.6 5.9 33.6 20.2 11.8 33.6 37.0 11.8 7.6
InlineSkate 39.3 51.6 49.1 62.5 79.8 66.9 82.0 66.7 62.9 64.7 62.0 47.5 43.8 65.8 61.5 49.1 76.5 62.4 61.6 61.3 65.8 62.9 61.8 65.8 20.2 60.5 61.6
InsectEPGRegularTrain 7.2 25.3 7.6 48.2 21.7 33.3 39.8 25.7 36.5 30.5 20.9 13.2 9.2 32.9 30.5 5.2 49.4 53.4 12.8 17.3 32.1 24.1 23.7 32.1 9.6 14.1 12.8
InsectEPGSmallTrain 14.1 32.9 13.2 47.0 24.5 34.5 40.2 27.3 41.0 35.3 26.5 20.5 16.5 33.7 34.5 4.8 51.8 53.4 26.5 30.5 33.7 27.7 27.7 33.7 16.9 20.5 25.7
InsectWingbeatSound 64.8 42.4 81.9 55.8 57.4 42.7 89.0 56.9 43.7 44.4 42.0 43.8 64.5 43.6 42.3 76.2 49.0 49.9 64.5 41.5 43.8 44.4 51.7 43.8 85.3 61.1 52.0
ItalyPowerDemand 5.0 6.7 16.5 12.3 8.4 4.0 48.0 4.9 4.4 4.4 5.0 5.0 5.0 4.5 5.7 12.2 2.7 6.8 5.0 4.5 4.5 10.8 5.8 4.5 29.3 7.5 5.0
LargeKitchenAppliances 19.7 42.1 30.4 59.2 20.5 60.0 69.9 38.7 47.7 60.3 21.9 21.9 20.5 54.1 42.1 26.1 60.0 57.3 20.5 20.5 50.7 48.0 35.5 50.7 44.0 20.8 20.5
Lightning2 13.1 18.0 45.9 42.6 23.0 39.3 39.3 16.4 24.6 29.5 9.8 9.8 13.1 27.9 18.0 36.1 49.2 45.9 13.1 13.1 24.6 16.4 13.1 24.6 36.1 9.8 13.1
Lightning7 32.9 45.2 48.0 68.5 47.9 49.3 63.0 26.0 39.7 46.6 28.8 28.8 32.9 43.8 46.6 46.6 68.5 79.5 27.4 28.8 42.5 39.7 28.8 42.5 68.5 32.9 24.7
Mallat 5.1 6.0 19.3 9.6 53.3 8.4 86.5 7.3 7.5 8.6 5.9 5.3 5.1 8.6 9.0 11.8 14.8 8.8 6.6 8.6 8.6 15.4 7.5 8.6 35.0 11.5 5.9
Meat 6.7 53.3 50.0 53.3 13.3 6.7 61.7 6.7 6.7 6.7 6.7 6.7 6.7 6.7 61.7 31.7 28.3 61.7 6.7 6.7 6.7 26.7 6.7 6.7 53.3 6.7 6.7
MedicalImages 26.3 34.5 36.7 45.0 35.4 32.2 66.3 27.2 30.9 31.4 26.3 26.3 26.3 31.6 33.2 34.1 39.0 42.2 26.3 25.3 31.6 34.1 28.7 31.6 41.4 28.7 26.1
MelbournePedestrian 19.0 31.5 33.4 47.0 25.0 15.7 73.3 18.7 14.7 15.4 18.2 17.6 19.3 15.6 37.9 23.8 18.5 40.1 20.9 18.4 15.3 24.1 18.4 15.0 76.3 21.3 19.7
MiddlePhalanxOutlineAgeGroup 48.0 61.0 44.2 57.8 51.9 48.7 59.7 48.7 48.7 47.4 50.0 48.0 46.1 47.4 61.0 47.4 46.8 61.0 50.0 48.0 48.1 53.9 50.0 48.7 63.6 46.1 52.6
MiddlePhalanxOutlineCorrect 26.1 28.9 29.2 34.0 29.9 23.0 47.1 25.8 23.7 22.3 30.2 26.8 29.6 21.6 43.0 25.1 21.6 37.5 30.2 23.4 23.4 30.9 24.7 23.0 40.2 28.9 26.8
MiddlePhalanxTW 51.3 53.2 50.0 53.2 51.3 49.4 80.5 48.0 50.0 48.7 49.4 52.0 51.3 51.3 53.9 50.6 51.3 53.9 49.4 49.4 48.7 46.1 40.9 49.4 61.0 51.3 48.7
MixedShapesRegularTrain 3.4 3.3 9.9 17.6 49.0 12.5 76.8 17.5 6.6 13.2 10.7 3.4 3.3 10.3 4.7 4.0 29.9 5.1 15.8 9.1 10.3 10.8 8.7 10.3 19.4 14.0 13.4
MixedShapesSmallTrain 7.8 7.9 15.8 21.9 56.2 19.1 76.9 26.1 13.0 19.5 20.0 6.3 8.7 16.7 8.4 8.7 39.4 9.4 22.0 16.7 16.5 15.6 14.8 16.5 23.8 20.6 21.4
MoteStrain 16.7 15.2 38.0 35.8 28.0 19.4 42.2 21.3 21.2 17.3 12.4 12.9 16.7 26.3 15.2 30.5 28.4 27.0 16.5 13.4 12.1 12.3 9.8 12.1 44.0 13.8 21.9
NonInvasiveFetalECGThorax1 17.7 25.6 60.5 65.3 47.0 17.0 95.8 16.1 16.3 18.7 20.5 19.3 19.4 17.4 37.2 31.0 45.5 37.6 21.0 18.9 17.1 23.1 19.1 17.1 92.3 19.3 20.1
NonInvasiveFetalECGThorax2 11.2 17.5 42.2 61.2 39.6 12.2 96.3 12.4 12.1 12.5 13.4 10.7 10.7 12.0 21.5 17.2 21.8 22.2 13.5 12.9 12.0 14.7 10.5 12.0 90.0 15.0 13.0
OliveOil 16.7 83.3 63.3 83.3 23.3 16.7 43.3 13.3 13.3 13.3 16.7 16.7 16.7 13.3 83.3 13.3 16.7 83.3 16.7 13.3 13.3 56.7 16.7 13.3 63.3 13.3 20.0
OSULeaf 12.4 14.1 26.0 40.1 52.1 46.7 76.9 50.4 43.8 46.3 38.0 9.5 12.0 48.4 17.4 11.6 60.7 14.1 40.9 38.8 47.9 28.9 40.9 47.9 36.0 44.6 40.1
PhalangesOutlinesCorrect 27.3 25.5 28.2 30.4 28.9 24.1 43.9 25.1 23.8 23.1 27.2 25.4 26.1 21.0 39.6 26.0 21.0 39.5 27.2 23.9 23.9 29.3 24.9 23.9 48.0 27.5 27.2
Phoneme 73.2 70.4 80.2 81.7 86.2 92.0 93.1 81.3 88.3 88.1 76.2 72.7 73.1 88.8 71.7 75.5 91.6 76.2 77.2 77.3 89.1 81.0 78.1 89.1 79.0 80.1 77.0
PickupGestureWiimoteZ 38.0 40.0 56.0 76.0 66.0 52.0 92.0 40.0 34.0 52.0 34.0 38.0 32.0 44.0 36.0 54.0 90.0 46.0 34.0 34.0 44.0 36.0 34.0 44.0 76.0 32.0 34.0
PigAirwayPressure 82.7 81.7 86.1 81.2 91.3 93.3 98.6 90.9 90.4 94.7 89.9 83.2 81.2 94.2 86.1 81.2 97.1 84.1 89.4 90.4 94.2 91.3 90.9 94.2 42.8 93.3 92.3
PigArtPressure 50.0 18.3 86.5 60.1 34.1 80.8 91.8 95.2 81.2 87.0 74.0 42.8 50.0 88.0 25.5 47.6 92.3 26.4 75.5 80.3 87.5 73.1 77.9 87.5 66.8 71.6 78.4
PigCVP 76.9 53.9 95.2 87.5 66.3 82.7 97.6 89.9 88.0 89.9 81.7 76.0 76.9 92.8 55.8 81.2 95.2 55.8 84.6 84.1 91.8 84.6 88.0 91.8 53.8 81.7 84.1
PLAID 16.2 24.2 31.5 32.2 30.9 56.2 68.3 30.0 34.8 50.1 15.5 15.5 16.2 46.4 27.4 32.2 63.9 32.2 16.2 16.6 46.6 24.6 23.6 46.7 73.6 17.7 16.0
Plane 0.0 0.0 0.0 0.0 3.8 3.8 74.3 2.9 3.8 3.8 0.0 0.0 0.0 3.8 0.0 0.0 2.9 0.0 0.0 0.0 3.8 0.0 0.0 3.8 11.4 0.0 0.0
PowerCons 13.9 12.8 33.3 26.7 19.4 15.6 30.0 11.1 10.6 10.0 12.8 12.8 13.9 6.1 13.9 27.8 21.7 23.3 12.2 7.8 6.7 13.3 11.1 6.7 31.1 12.2 10.6
ProximalPhalanxOutlineAgeGroup 20.0 20.5 19.5 21.5 22.9 20.5 65.4 22.4 21.0 20.5 19.5 20.5 20.0 21.5 20.5 20.5 18.1 20.5 19.5 21.5 21.5 23.9 20.5 21.5 45.9 19.0 23.4
ProximalPhalanxOutlineCorrect 23.0 20.3 22.3 21.6 25.8 19.6 32.6 22.0 19.2 18.6 21.6 20.6 20.6 16.1 31.6 21.0 15.5 36.4 21.6 21.0 19.2 21.6 21.6 19.6 38.1 25.8 22.7
ProximalPhalanxTW 28.3 24.9 27.8 30.2 33.2 29.3 77.6 31.2 29.3 30.2 24.4 22.9 23.4 24.9 53.7 26.3 24.4 53.7 24.4 24.4 29.3 29.3 29.8 29.3 36.1 24.9 24.9
RefrigerationDevices 53.9 54.1 58.9 51.5 59.5 62.1 67.5 57.9 58.9 60.8 53.9 53.1 55.5 60.5 53.9 57.6 66.9 61.1 53.6 56.0 60.5 50.9 51.2 60.5 66.4 59.5 53.6
Rock 8.0 16.0 36.0 44.0 68.0 22.0 62.0 28.0 26.0 18.0 30.0 12.0 8.0 16.0 30.0 8.0 10.0 26.0 40.0 16.0 16.0 34.0 22.0 16.0 44.0 36.0 40.0
ScreenType 52.3 54.1 49.3 58.7 61.6 70.4 68.0 63.2 58.7 65.3 57.1 54.4 57.1 64.0 54.4 56.3 65.3 54.1 60.3 58.9 64.0 60.8 65.6 64.0 49.6 61.6 58.1
SemgHandGenderCh2 19.7 54.5 29.8 56.3 39.8 34.2 48.3 25.2 33.0 29.8 20.3 20.3 19.8 23.8 54.8 30.8 58.7 59.7 19.8 15.5 23.8 31.5 22.8 23.8 40.2 12.2 12.5
SemgHandMovementCh2 41.8 77.6 67.1 78.7 66.9 82.4 75.8 43.6 59.1 69.6 46.4 46.4 41.8 63.1 78.2 63.8 78.0 78.4 41.6 36.2 63.1 67.1 45.6 63.1 78.4 32.7 32.2
SemgHandSubjectCh2 27.3 69.6 48.2 72.2 53.3 77.8 72.4 30.7 44.7 59.1 27.3 27.3 27.3 59.6 67.6 48.7 77.8 78.0 27.3 20.0 59.6 44.9 25.1 59.6 62.7 14.9 12.9
ShakeGestureWiimoteZ 14.0 18.0 56.0 48.0 40.0 50.0 88.0 26.0 42.0 40.0 14.0 12.0 14.0 40.0 14.0 34.0 78.0 38.0 14.0 16.0 40.0 20.0 20.0 40.0 76.0 14.0 14.0
ShapeletSim 39.4 15.6 42.2 27.2 13.3 31.1 34.4 31.7 23.9 52.2 15.6 15.6 38.9 53.3 15.6 43.3 55.0 22.2 35.0 30.0 46.1 27.2 20.0 48.3 20.6 39.4 41.1
ShapesAll 15.0 13.0 57.0 63.3 63.3 27.3 95.5 32.0 22.7 24.2 19.7 14.0 15.0 24.8 12.8 18.5 47.0 13.8 23.2 19.8 24.8 16.2 18.3 24.8 68.5 24.7 20.8
SmallKitchenAppliances 36.0 63.7 38.9 61.3 50.7 64.3 47.7 56.8 60.8 69.3 35.2 36.0 36.0 63.5 70.1 36.3 66.4 67.7 35.7 32.8 65.9 60.3 38.1 65.6 68.0 35.5 31.5
SmoothSubspace 16.0 6.0 34.0 31.3 47.3 32.7 60.0 32.0 14.0 11.3 7.3 7.3 16.0 11.3 10.7 24.7 20.0 22.7 17.3 5.3 9.3 15.3 8.0 9.3 43.0 28.0 14.7
SonyAIBORobotSurface1 25.8 13.3 22.3 11.6 27.0 50.1 44.4 33.8 18.5 20.8 29.1 29.1 25.8 30.4 29.1 25.1 31.6 17.5 27.4 30.4 30.4 31.9 21.8 30.4 15.1 26.0 27.6
SonyAIBORobotSurface2 10.8 12.3 8.5 14.1 22.6 24.3 40.9 19.4 12.3 14.4 16.9 11.0 10.8 16.5 16.4 10.8 16.8 12.1 16.9 14.1 14.1 18.7 16.1 14.1 21.2 20.2 17.2
StarLightCurves 3.8 3.9 8.4 7.0 8.1 16.3 25.6 10.3 5.7 16.5 9.5 3.7 3.8 15.1 5.6 3.8 23.9 5.8 9.3 9.5 15.1 12.5 13.5 15.1 64.4 9.7 9.1
Strawberry 4.9 27.0 7.3 30.0 18.1 5.4 46.8 5.7 5.7 6.2 6.0 4.3 4.6 4.6 35.7 4.3 4.6 36.8 6.0 5.4 5.4 10.3 6.5 5.4 22.2 5.1 5.7
SwedishLeaf 9.9 10.6 21.9 23.0 24.8 25.1 86.9 22.9 12.3 19.4 20.2 10.1 9.9 21.1 16.5 11.8 44.2 16.5 20.8 15.4 21.1 14.1 12.0 21.1 38.2 19.5 17.4
Symbols 4.7 3.2 41.3 76.4 16.7 10.3 75.7 23.7 8.4 11.8 5.0 5.3 4.7 18.7 3.8 2.5 21.5 3.8 5.0 6.2 10.1 5.9 6.1 10.1 43.7 3.1 5.0
SyntheticControl 0.7 6.0 69.7 63.7 36.7 48.0 83.7 6.3 5.0 25.7 1.3 1.3 0.7 12.0 6.0 50.0 65.3 48.3 0.7 1.7 12.0 18.7 3.3 11.3 38.7 3.3 0.7
ToeSegmentation1 19.3 23.7 38.6 41.7 20.6 39.0 39.0 27.6 30.7 35.5 23.7 23.7 19.3 39.9 23.7 19.3 41.2 16.7 22.8 25.0 32.0 20.2 21.5 32.0 34.2 22.8 26.3
ToeSegmentation2 25.4 11.5 48.5 21.5 13.8 29.2 41.5 20.0 18.5 16.9 13.8 17.7 25.4 20.8 11.5 28.5 66.2 13.1 16.1 9.2 19.2 10.8 9.2 19.2 26.2 20.0 16.1
Trace 0.0 4.0 23.0 43.0 20.0 21.0 75.0 9.0 14.0 28.0 0.0 0.0 0.0 23.0 4.0 1.0 41.0 1.0 0.0 1.0 24.0 10.0 17.0 24.0 0.0 0.0 0.0
TwoLeadECG 2.2 6.9 3.2 15.4 15.1 24.1 19.6 28.5 23.2 22.1 9.6 2.5 2.2 20.2 18.4 1.0 15.3 8.5 9.6 13.2 25.3 5.6 6.1 25.2 27.3 16.2 9.6
TwoPatterns 0.0 0.1 3.0 34.9 52.0 54.8 74.8 40.5 12.1 31.8 0.0 0.0 0.0 9.3 0.1 0.3 61.3 47.2 0.0 0.1 9.3 0.5 0.0 9.3 74.5 0.0 0.0
